"phase","tuning_option","status","surface_now","in_pipeline_settings_now","recommended_main_sidebar","recommended_nested_sidebar","remediation_priority","current_setting","summary"
"Phase 00","RUNTIME_TRACE_ENABLED","backend_plus_gui","backend_plus_gui_read_only","no","Observability and Tracing","Tracing and Event Stream","P3","true (env: RUNTIME_TRACE_ENABLED)","[Backend + GUI: read-only] Master switch for runtime tracing. When enabled the runtime bridge writes fetch/LLM/parse events to NDJSON log and pushes them over WebSocket to the GUI. Disabling silences the entire event stream including all 17 GUI panels."
"Phase 00","RUNTIME_TRACE_FETCH_RING","gui","pipeline_settings","yes","Runtime Flow","Observability and Trace","P1","30 (env: RUNTIME_TRACE_FETCH_RING)","[Backend only ? no GUI control] Size of the circular buffer that holds the most recent fetch events in memory. The GUI Event Stream panel reads from this ring. Larger values keep more history in RAM; smaller values reduce memory footprint. Not exposed in any GUI panel."
"Phase 00","RUNTIME_TRACE_LLM_RING","gui","pipeline_settings","yes","Runtime Flow","Observability and Trace","P1","50 (env: RUNTIME_TRACE_LLM_RING)","[Backend only ? no GUI control] Size of the circular buffer for LLM call events. The LLM Output and LLM Metrics panels consume this ring. Controls how many recent LLM interactions are kept in memory for GUI display. Not exposed in any GUI panel."
"Phase 00","RUNTIME_TRACE_LLM_PAYLOADS","gui","pipeline_settings","yes","Runtime Flow","Observability and Trace","P1","true (env: RUNTIME_TRACE_LLM_PAYLOADS)","[Backend only ? no GUI control] When true the full LLM request/response payloads (prompt text + completion text) are captured in the trace ring and written to NDJSON. Useful for debugging but increases memory usage and log size significantly. Not exposed in any GUI panel."
"Phase 00","RUNTIME_CONTROL_FILE","gui","pipeline_settings","yes","Runtime Flow","Run Setup","P1","_runtime/control/runtime_overrides.json (env: RUNTIME_CONTROL_FILE)","[Backend only ? no GUI control] Path to the JSON file that holds runtime override values. The pipeline polls this file to pick up hot-reload config changes without restarting. Not exposed in any GUI panel."
"Phase 00","EVENTS_JSON_WRITE","gui","pipeline_settings","yes","Runtime Flow","Observability and Trace","P1","true (env: EVENTS_JSON_WRITE)","[Backend only ? no GUI control] Dual-write flag for events. When true events are written to both SQLite and JSON (NDJSON). This is the only dual-write flag that defaults to true ? all others default to false. Turning it off would stop NDJSON event file creation."
"Phase 01","REQUIRED_WEIGHT ? identity","hardcoded","hardcoded_constant","no","NeedSet Engine","NeedSet and Identity Caps","P1","5 (hardcoded in needsetEngine.js)","[Hardcoded ? no control] Weight multiplier for identity-level fields (brand/model/variant) in the NeedSet score formula. Identity fields get the highest multiplier because incorrect identity makes all other fields meaningless. Formula: need = missing_multiplier ? conf_term ? REQUIRED_WEIGHT ? tier_deficit ? min_refs_deficit ? conflict_multiplier."
"Phase 01","REQUIRED_WEIGHT ? critical","hardcoded","hardcoded_constant","no","NeedSet Engine","NeedSet and Identity Caps","P1","4 (hardcoded in needsetEngine.js)","[Hardcoded ? no control] Weight multiplier for critical-level fields in the NeedSet formula. Critical fields are essential specs like sensor type or switch type that define the product's key characteristics."
"Phase 01","REQUIRED_WEIGHT ? required","hardcoded","hardcoded_constant","no","NeedSet Engine","NeedSet and Identity Caps","P1","2 (hardcoded in needsetEngine.js)","[Hardcoded ? no control] Weight multiplier for required-level fields in the NeedSet formula. Required fields are important specs that should be filled but are not identity-defining."
"Phase 01","REQUIRED_WEIGHT ? expected","hardcoded","hardcoded_constant","no","NeedSet Engine","NeedSet and Identity Caps","P1","1 (hardcoded in needsetEngine.js)","[Hardcoded ? no control] Weight multiplier for expected-level fields in the NeedSet formula. Expected fields are commonly available specs that are nice to have."
"Phase 01","REQUIRED_WEIGHT ? optional","hardcoded","hardcoded_constant","no","NeedSet Engine","NeedSet and Identity Caps","P1","1 (hardcoded in needsetEngine.js)","[Hardcoded ? no control] Weight multiplier for optional-level fields in the NeedSet formula. Optional fields have the lowest priority and get the base multiplier."
"Phase 01","missing_multiplier","hardcoded","hardcoded_constant","no","NeedSet Engine","NeedSet and Identity Caps","P1","2.0 (hardcoded in needsetEngine.js)","[Hardcoded ? no control] NeedSet formula component. Applied when a field has no value (missing/unknown). Doubles the need score for empty fields to prioritize them in search. A higher value would make the engine more aggressive about filling empty fields."
"Phase 01","tier_deficit_multiplier","hardcoded","hardcoded_constant","no","NeedSet Engine","NeedSet and Identity Caps","P1","2.0 when tier_preference includes 1 AND best_tier_seen > 1 (hardcoded)","[Hardcoded ? no control] NeedSet formula component. Kicks in when a field wants Tier 1 evidence but only has Tier 2+ evidence. Doubles the need score to push the engine toward manufacturer sources. Set to 1.0 when tier preference is satisfied."
"Phase 01","min_refs_deficit_multiplier","hardcoded","hardcoded_constant","no","NeedSet Engine","NeedSet and Identity Caps","P1","1.5 when refs_found < min_refs (hardcoded)","[Hardcoded ? no control] NeedSet formula component. Applied when a field has fewer evidence references than its minimum policy requires. Increases need by 50% to drive additional source discovery. Set to 1.0 when min_refs is met."
"Phase 01","conflict_multiplier","hardcoded","hardcoded_constant","no","NeedSet Engine","NeedSet and Identity Caps","P1","1.5 when conflict detected (hardcoded)","[Hardcoded ? no control] NeedSet formula component. Applied when multiple sources disagree on a field value. Increases need by 50% to drive tiebreaker evidence gathering. A higher value would make the engine more aggressive about resolving conflicts."
