env_or_option_key,phase,tuning_option,token_source
BATCH_STRATEGY,Phase 10,BATCH_STRATEGY,explicit_env_marker
BING_SEARCH_ENDPOINT,Phase 03,BING_SEARCH_ENDPOINT,explicit_env_marker
BING_SEARCH_KEY,Phase 03,BING_SEARCH_KEY,explicit_env_marker
CAPTURE_PAGE_SCREENSHOT_FORMAT,Phase 08B,CAPTURE_PAGE_SCREENSHOT_FORMAT,explicit_env_marker
CAPTURE_PAGE_SCREENSHOT_SELECTORS,Phase 08B,CAPTURE_PAGE_SCREENSHOT_SELECTORS,uppercase_option_name
CHART_EXTRACTION_ENABLED,Parsing 09,CHART_EXTRACTION_ENABLED,uppercase_option_name
CHART_VISION_FALLBACK_ENABLED,Parsing 09,CHART_VISION_FALLBACK_ENABLED,uppercase_option_name
CORTEX_API_KEY,CORTEX,CORTEX_API_KEY,explicit_env_marker
CORTEX_BASE_URL,CORTEX,CORTEX_BASE_URL,uppercase_option_name
DEFAULT_IDENTITY_AUDIT_LIMIT,Phase 01,DEFAULT_IDENTITY_AUDIT_LIMIT,uppercase_option_name
DEFAULT_TIER_WEIGHTS,Phase 07,DEFAULT_TIER_WEIGHTS,uppercase_option_name
DOC_KIND_WEIGHTS,Phase 07,DOC_KIND_WEIGHTS,uppercase_option_name
DUCKDUCKGO_BASE_URL,Phase 03,DUCKDUCKGO_BASE_URL,explicit_env_marker
FRONTIER_DB_PATH,Phase 04,FRONTIER_DB_PATH,explicit_env_marker
GOOGLE_CSE_CX,Phase 03,GOOGLE_CSE_CX,explicit_env_marker
GOOGLE_CSE_KEY,Phase 03,GOOGLE_CSE_KEY,explicit_env_marker
HELPER_FILES_ROOT,Phase 10,HELPER_FILES_ROOT,explicit_env_marker
IMPORTS_ROOT,Daemon,IMPORTS_ROOT,explicit_env_marker
INDEXING_RESUME_MODE,Indexing,INDEXING_RESUME_MODE,explicit_env_marker
LLM_EXTRACTION_CACHE_DIR,LLM Budget,LLM_EXTRACTION_CACHE_DIR,uppercase_option_name
LLM_MODEL_EXTRACT,Phase 08,LLM_MODEL_EXTRACT,uppercase_option_name
LLM_MODEL_FAST,Phase 08,LLM_MODEL_FAST,uppercase_option_name
LLM_MODEL_PLAN,Phase 02,LLM_MODEL_PLAN,uppercase_option_name
LLM_MODEL_REASONING,Phase 08,LLM_MODEL_REASONING,uppercase_option_name
LLM_MODEL_TRIAGE,Phase 03,LLM_MODEL_TRIAGE,uppercase_option_name
LLM_MODEL_VALIDATE,Phase 08,LLM_MODEL_VALIDATE,explicit_env_marker
LLM_MODEL_WRITE,Phase 08,LLM_MODEL_WRITE,explicit_env_marker
LLM_PLAN_API_KEY,Phase 02,LLM_PLAN_API_KEY,explicit_env_marker
LLM_PLAN_BASE_URL,Phase 02,LLM_PLAN_BASE_URL,explicit_env_marker
